y,x
tired,/home/habib/mindcloud/project/dataset/tired/C5127741-5897-468C-A543-7F1B72569F0E-1428333964-1.0-m-26-ti.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_418_15.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_424_9.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/b4c460d8-bd6b-4017-9bb8-2ae4ff0c5af1-1432751065608-1.7-f-26-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_424_2.wav
tired,/home/habib/mindcloud/project/dataset/tired/d6cda191-4962-4308-9a36-46d5648a95ed-1431587899682-1.7-m-04-ti.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_16_3.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_25_9.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_414_5.wav
tired,/home/habib/mindcloud/project/dataset/tired/C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/89964233-cbdb-4f34-a819-5f4b5ce3f5f5-1430049852345-1.7-f-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_0_8.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_12_11.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_9_5.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_24_5.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/8FDA58A7-FDC6-4421-855F-738E6E853E43-1429895742-1.0-m-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/discomfort/79FF400A-97E2-4701-987D-C7C850D5523C-1430089688-1.0-f-48-dc.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_415_15.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/E2C4BCE0-99FD-49EC-8AB1-5EA5DF7DD8C5-1430042952-1.0-m-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_420_1.wav
discomfort,/home/habib/mindcloud/project/dataset/discomfort/1309B82C-F146-46F0-A723-45345AFA6EA8-1432801693-1.1-f-26-dc.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/AE02C934-F4E5-4C73-818D-56AA6887EC18-1430279441-1.0-m-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/cde108d0-62c3-47f8-82c4-233c9fba5cdd-1436884444242-1.7-m-48-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/602b06a7-31f0-4370-b35a-9cc81d205958-1430739585531-1.7-m-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_416_9.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_416_8.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_11_12.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_415_6.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_2_8.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_422_13.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/40a4c760-facf-4911-b0a6-22eccc3ab18d-1430466176951-1.7-f-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/02ead89b-aa02-453e-8b83-6ebde9fe7551-1430233132879-1.7-m-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/2EE636FB-BD76-4118-A0EF-82FAFC32301F-1436586600-1.1-f-04-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477691332-1.7-f-26-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_426_2.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_23_4.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/af30880e-5f98-4dc0-b37a-be6b21fa0ba3-1431240037389-1.7-m-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_26_12.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/e4051e62-d21d-4bb8-a235-fd7e859ad787-1430740613780-1.7-f-72-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_429_7.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_416_4.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/7B924575-21FC-462A-969E-BABB46D1CBF5-1430055243-1.0-f-72-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_3_10.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/a7b13b65-da2c-48ec-8aed-46adcaba705f-1430823489236-1.7-f-26-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927728-1.0-f-04-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_23_6.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_427_8.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/6d922623-8424-4625-be4c-4964e0c9e25c-1434898452774-1.7-m-04-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/88da3fbd-926b-4ee7-ae8f-85f92f2783b0-1430114329442-1.7-m-04-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_422_4.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_23_2.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_422_2.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/9fe37482-6a64-401d-b8b9-3e47d6ed9ac0-1430047399844-1.7-f-26-hu.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_26_9.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_423_15.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_23_8.wav
discomfort,/home/habib/mindcloud/project/dataset/augmented/aug_discomfort_20_7.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/c6fd9d60-0fa7-44c0-b3ce-0192527d7b81-1429978271017-1.7-m-04-hu.wav
hungry,/home/habib/mindcloud/project/dataset/hungry/5afc6a14-a9d8-45f8-b31d-c79dd87cc8c6-1430757081034-1.7-m-48-hu.wav
tired,/home/habib/mindcloud/project/dataset/augmented/aug_tired_424_10.wav
