,Category,File name,Path,duration,rmsmean,rmsstd,zcr_mean,zcr_std,f0_mean,f0_std,mfcc mean 1,mfcc std 1,mfcc mean 2,mfcc std 2,mfcc mean 3,mfcc std 3,mfcc mean 4,mfcc std 4,mfcc mean 5,mfcc std 5,mfcc mean 6,mfcc std 6,mfcc mean 7,mfcc std 7,mfcc mean 8,mfcc std 8,mfcc mean 9,mfcc std 9,mfcc mean 10,mfcc std 10,mfcc mean 11,mfcc std 11,mfcc mean 12,mfcc std 12,mfcc mean 13,mfcc std 13
0,hungry,F3BAEDDA-CDC0-4A65-90EE-5C372CEE4F3B-1437012059-1.1-m-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\F3BAEDDA-CDC0-4A65-90EE-5C372CEE4F3B-1437012059-1.1-m-26-hu.wav,7.0,0.08337027579545975,0.06638790667057037,0.29578746448863635,0.147381539688637,195.2971673089331,62.48121402341162,-154.43283,87.17324,11.231325,41.676186,-13.449755,13.437383,9.656164,14.767538,-20.805231,11.590357,-3.6443393,7.340107,-7.4197106,13.718169,-11.647964,10.656327,-15.410446,9.437534,1.8504966,15.445921,-2.5246563,13.927067,3.963713,15.532217,-13.367049,16.100712
1,hungry,FAE74A94-9968-43ED-958C-50D7C4C1F13C-1430770871-1.0-f-22-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\FAE74A94-9968-43ED-958C-50D7C4C1F13C-1430770871-1.0-f-22-hu.wav,7.0,0.07913956791162491,0.0829027071595192,0.1538973721590909,0.06332899086484131,209.24274429399586,42.14212770272896,-319.7719,135.92331,36.921246,21.655853,-11.893105,18.148996,-5.0276327,12.331302,-28.009245,18.701693,-31.907772,18.874022,-30.928116,17.261457,-18.56847,10.781325,-14.611683,13.0774555,6.6630845,20.103643,7.2399235,20.768038,4.150192,16.823193,-1.3168613,18.016861
2,hungry,4be720ce-a5e5-4a48-930f-a212f8a239f6-1434737668804-1.7-f-48-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\4be720ce-a5e5-4a48-930f-a212f8a239f6-1434737668804-1.7-f-48-hu.wav,6.78,0.00841466523706913,0.015641164034605026,0.21482993071933962,0.05809371759437135,170.45177750972005,77.42789584622167,-399.8557,127.055336,53.48868,33.316963,-27.16852,30.989998,-4.5004635,21.2412,-7.017306,12.0823965,-0.32964712,11.678267,-15.027981,8.549644,-9.017436,6.3479815,-14.738559,6.1704817,-3.7580118,11.438112,-10.835961,8.241719,-5.6322327,10.917327,-9.672186,8.376211
3,hungry,bb2bdafb-0477-4be4-8c41-1a6192e8c6d4-1430637663087-1.7-m-72-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\bb2bdafb-0477-4be4-8c41-1a6192e8c6d4-1430637663087-1.7-m-72-hu.wav,6.66,0.06930455565452576,0.06253181397914886,0.1969215029761905,0.08593876624054249,189.3749752881334,62.1162180394682,-177.99344,112.00503,44.74528,21.010782,-12.028001,18.762186,-9.32797,22.396095,-30.113272,19.143614,-29.895393,17.72004,-6.3831205,15.02488,-14.25857,11.378666,-12.3005,9.791722,-3.6430178,8.711318,-10.783374,12.849642,-6.0886383,9.175513,-4.813111,9.970084
4,hungry,40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477717469-1.7-f-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477717469-1.7-f-26-hu.wav,7.06,0.24973085522651672,0.14032025635242462,0.47191283079954954,0.22923436688875878,175.0130131372836,64.81633208472742,-30.901796,103.80468,-27.010868,54.460945,7.823497,28.218018,-9.228694,17.681974,-11.188976,14.092893,-1.6519272,16.064335,-9.149456,19.449461,-16.174717,12.677986,-13.439294,12.383303,-3.9666932,9.29983,-14.658509,7.643035,-4.944606,10.62987,-5.212883,11.601233
5,hungry,40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477726097-1.7-f-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477726097-1.7-f-26-hu.wav,7.06,0.2447967380285263,0.1160498857498169,0.46274985923423423,0.23305665714414248,203.04244187733696,70.81676626024553,-38.665077,107.753914,-27.946314,64.78646,1.5450051,18.724031,-18.218119,19.75494,-10.308377,15.519823,-4.854559,16.341547,-4.9146338,18.020123,-14.971491,10.692748,-13.420478,11.47082,-2.1023095,7.5925817,-16.75376,10.220225,-5.9387994,11.107822,-3.863922,11.416659
6,hungry,815af07e-4c31-4032-8bd1-dab6e60c879e-1433156413683-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\815af07e-4c31-4032-8bd1-dab6e60c879e-1433156413683-1.7-m-04-hu.wav,6.94,0.14473991096019745,0.10297566652297974,0.41537503583715596,0.1262960993163824,203.47023253095782,64.07267958882109,-146.30441,126.90718,-53.40366,48.80424,-31.02908,19.378914,-1.6007532,23.89177,-39.626797,17.636349,1.3756688,13.877326,-16.420055,14.104363,-0.0021285159,11.368527,-11.669728,14.264414,9.059918,12.072729,-17.731384,16.905258,12.981132,15.581616,-4.7141166,17.154652
7,hungry,5728DDD6-149B-412F-A14B-C29B9B5E415F-1432635069-1.0-m-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\5728DDD6-149B-412F-A14B-C29B9B5E415F-1432635069-1.0-m-26-hu.wav,7.0,0.060381148010492325,0.04773303121328354,0.22842240767045455,0.04274219633233039,195.4063408765926,61.67379786122194,-177.91287,56.933083,34.520344,22.41974,-26.376055,16.564758,-1.7784864,11.882265,-18.878662,10.761039,9.828902,15.566128,-11.878126,9.459543,-16.931602,10.967641,-19.38826,10.316805,-13.612041,10.631369,-10.325127,17.337437,-3.9222682,18.184008,-7.183444,20.396591
8,hungry,86c2b87a-ae7c-46a3-b6fb-7ebe748812cf-1430036547966-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\86c2b87a-ae7c-46a3-b6fb-7ebe748812cf-1430036547966-1.7-m-04-hu.wav,7.04,0.045445263385772705,0.0271966103464365,0.18889446086711711,0.10210770619580004,136.24988873340652,74.65402088605425,-139.93985,100.93853,63.975117,28.537209,-5.185602,18.207207,-0.9060286,13.661533,-25.486088,10.619379,-8.0899105,12.084541,-13.550852,13.114977,-5.997361,6.8048577,-11.620017,7.628012,-7.3260627,6.1544466,-8.715796,5.380065,-3.189482,5.9200544,-4.9581594,7.448798
9,hungry,c6fd9d60-0fa7-44c0-b3ce-0192527d7b81-1429978271017-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\c6fd9d60-0fa7-44c0-b3ce-0192527d7b81-1429978271017-1.7-m-04-hu.wav,6.78,0.05710873007774353,0.07325956970453262,0.1577056308962264,0.07881162186473337,192.3524922777122,71.74420084314488,-219.82014,134.75583,51.179718,31.237125,-18.21657,28.719797,-6.8769345,10.98417,-22.836107,13.991196,-17.857796,12.528,-14.003162,16.353382,-11.51888,10.050452,-13.731242,8.397508,-5.2413583,8.740606,-4.8062224,12.214988,-1.4995035,13.339031,-6.653089,13.327486
10,hungry,3d3e244d-20b1-4ec3-9732-92dcd14ff35a-1436961241219-1.7-m-72-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\3d3e244d-20b1-4ec3-9732-92dcd14ff35a-1436961241219-1.7-m-72-hu.wav,6.66,0.16050679981708527,0.0603497251868248,0.09052269345238095,0.07483275689506044,123.57826255104796,39.15868595037789,-98.61485,97.12032,140.83795,40.64258,3.6772718,22.879112,11.193492,9.73247,-5.297581,6.8605947,-3.3405402,7.6334414,-14.006888,6.6622944,-4.624687,7.112457,-12.8566475,7.1445374,-10.61242,6.7517705,-9.167684,10.320297,-8.628075,6.2714515,-11.213494,4.617776
11,hungry,42ec6f14-6ba6-457f-8a80-101ee201195c-1431345009828-1.7-m-22-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\42ec6f14-6ba6-457f-8a80-101ee201195c-1431345009828-1.7-m-22-hu.wav,7.06,0.0012940251035615802,0.0008557562832720578,0.33174971846846846,0.12956494894246617,194.46427522948488,81.1346453300372,-503.95572,161.9765,17.598951,18.417784,-30.734306,20.22591,15.44158,14.822215,-25.528429,15.309526,-0.3580856,9.057749,-11.994961,8.405882,-0.28756222,8.849377,-9.699888,6.9812875,0.34011546,5.879764,-12.343279,8.41602,-0.38901147,7.570678,-8.863437,7.176496
12,hungry,70d30513-0ec3-49e4-9976-e85785e85c2d-1431033405793-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\70d30513-0ec3-49e4-9976-e85785e85c2d-1431033405793-1.7-m-04-hu.wav,6.96,0.10829771310091019,0.09132973849773407,0.3167601419151376,0.1603193035170924,186.4178508514981,75.72225615066357,-185.37111,170.6005,-8.212803,44.03648,-23.383078,26.871143,-20.957891,18.808048,-33.979824,15.993589,-1.0601556,8.812651,-26.458008,16.094873,4.091393,9.547774,-4.697612,15.258054,0.64178765,12.681161,-3.5910103,13.560703,6.5965714,18.1644,2.2407048,16.334896
13,hungry,415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav,7.06,0.007761974819004536,0.002787261502817273,0.2725973043355856,0.10422722036572979,172.23391048987781,83.89597346303678,-281.46344,118.38811,43.667545,25.996708,-27.072727,16.980486,-1.9835619,10.358317,-14.784683,9.864568,-9.888722,7.1632743,-17.735096,9.633513,-5.379397,8.388169,-12.150367,6.2666917,-2.1593945,7.109049,-11.638258,6.250982,-0.1944346,4.398849,-6.9154162,7.022603
14,hungry,a7b13b65-da2c-48ec-8aed-46adcaba705f-1430823489236-1.7-f-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\a7b13b65-da2c-48ec-8aed-46adcaba705f-1430823489236-1.7-f-26-hu.wav,6.94,0.18476231396198273,0.1103617250919342,0.24044939793577982,0.12856523448615068,193.99754233609875,63.070129785330835,-94.47696,124.02779,36.605965,43.09484,-24.812439,21.009527,1.8080724,17.201298,-22.265276,16.310024,-13.96763,16.20594,-10.083592,11.154713,-3.0299053,11.900999,-17.708582,10.881533,-9.8777075,10.080981,-16.891413,11.013914,3.2757947,14.210733,-1.5758384,15.226423
15,hungry,10A40438-09AA-4A21-83B4-8119F03F7A11-1430848070-1.0-f-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\10A40438-09AA-4A21-83B4-8119F03F7A11-1430848070-1.0-f-26-hu.wav,7.0,0.12066085636615753,0.0592878982424736,0.478759765625,0.1384067986237734,200.38002957798932,62.56936575570844,-72.3895,93.99235,-30.483624,24.716665,-7.615367,23.233238,-15.688798,19.289825,-11.276179,10.321742,14.5991955,13.248062,-15.9904175,14.664764,-6.8509793,12.370448,-11.525844,14.559613,2.445036,12.913549,-3.5234506,13.337221,5.9178634,15.963426,-5.4812407,16.230839
16,discomfort,ae5a462b-5424-4b5b-82d5-07ccb61654ab-1431064345173-1.7-f-48-dc.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\discomfort\ae5a462b-5424-4b5b-82d5-07ccb61654ab-1431064345173-1.7-f-48-dc.wav,6.9,0.017000243067741394,0.020525185391306877,0.36734573929398145,0.1538295018568579,168.99814461996175,77.71163309355427,-366.27283,150.64665,-10.2150755,53.46988,-20.344778,29.811722,-10.367254,24.731564,-15.470763,16.040834,15.453103,17.019361,-20.72994,15.518456,1.0543195,8.972829,-14.680024,9.437652,-3.9932933,7.5866137,-9.939947,10.350628,3.4260137,17.924925,1.9442208,14.92408
17,hungry,539FDD32-6326-422E-A707-FCF063D3426C-1437073544-1.1-f-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\539FDD32-6326-422E-A707-FCF063D3426C-1437073544-1.1-f-26-hu.wav,7.0,0.1692122519016266,0.10242903232574463,0.14702592329545455,0.02156958919128173,242.45202223861736,60.444063912413625,-171.20856,63.5347,28.719593,27.337708,-6.713379,13.828514,-10.417867,8.410459,-30.528921,15.383237,-6.9430037,11.1061125,-17.492191,14.225086,-8.314367,12.660231,6.285247,17.70936,4.6348596,19.72557,-3.3801053,19.230915,-8.124516,17.238604,-16.006119,14.298463
